T,ZeroRate_A,DF_A,Fwd6m_A,ZeroRate_B,DF_B,Fwd6m_B
0.25,0.036711021063064966,0.9908642317829611,0.03603988723965035,0.0372147440324978,0.9907394593711826,0.03658805413638655
0.5,0.03642674981451937,0.9819514861958487,0.035260404942063506,0.03695100813277676,0.9816941218112956,0.03577680246706327
0.75,0.036049685579123976,0.9733249706874061,0.04942056575727749,0.036576520793229234,0.9729404602555275,0.03520610907057398
1.0,0.035689968171784534,0.9649394090421578,0.06958018863682502,0.03620579067806789,0.9644417999277978,0.0346180343341822
1.25,0.04115774877706052,0.9498538142440809,0.04625726001739583,0.035905844719529394,0.9561100037183401,0.03395519843235917
1.5,0.04659237793272472,0.9324977252297111,-0.0017833094895443047,0.035577808852869264,0.9480322926985224,0.03356757806010213
1.75,0.04246423032592517,0.9283816192652197,-0.012042469125468358,0.03526708364979701,0.940148538625873,0.03351391176736929
2.0,0.03449825719688101,0.9333299332931698,0.012501452577707628,0.035005605459938305,0.9323833669721334,0.03371735142405807
2.25,0.03034354123442236,0.9340054853755462,0.03952324343322022,0.034815779315992425,0.924654149829514,0.034007353785455496
2.5,0.030091114368752225,0.9275321834900704,0.0548790901514149,0.03469174255804824,0.9169252220022177,0.03427743006679007
2.75,0.031942495840416835,0.915905703338093,0.0534442406465927,0.034616813073193066,0.9091945003135375,0.03447049398100965
3.0,0.03409920488996241,0.9027608368156831,0.042049907565827827,0.03457428681892381,0.9014750972015778,0.03462030274852079
3.25,0.03514251806823564,0.8920677612845146,0.031849092941330426,0.034549120280059915,0.8937898121436448,0.03481996890609196
3.5,0.035172741167285144,0.8841711786484157,0.026883242391992468,0.03453854227616375,0.8861359497728359,0.03511161067374191
3.75,0.034669937289459996,0.8780846612906138,0.028182467083945895,0.034545282123553483,0.8784952239525557,0.03550273397525583
4.0,0.0341141695371093,0.8724441153354012,0.03289052905068646,0.034572095084286714,0.8708475202295884,0.03596308022394856
4.25,0.0338835623210184,0.8658832975250941,0.03701305319032322,0.03462128459062288,0.8631727280826488,0.03643694412170939
4.5,0.03394848528571766,0.8583286732540514,0.03922987560248892,0.03469114773683864,0.8554649430418928,0.036892680085605534
4.75,0.034177369384173734,0.8501499744137304,0.03929168295080343,0.03477788709691514,0.8477284116989193,0.037316289770457534
5.0,0.03443864556935325,0.8418164950633227,0.038240439780508506,0.03487768696661064,0.8399705604577455,0.03771347947387005
5.25,0.034628163302548934,0.8337698638417285,0.03742667884994333,0.03498689155969144,0.8322010833128243,0.03810430433738832
5.5,0.034751446078357846,0.8260227582904548,0.03724962622136063,0.03510356183988183,0.8244246003364739,0.03849539453598538
5.75,0.0348414358997031,0.8184538589750504,0.03775062292834619,0.03522680232568852,0.8166422901338041,0.03888288868367695
6.0,0.03493107476950786,0.8109195335306465,0.03857083020782959,0.03535573226540287,0.8088559851999415,0.03925616538843446
6.25,0.03504602232798811,0.8032914820547499,0.03926947630850508,0.03548943793485646,0.8010683641187811,0.039598713743657754
6.5,0.03518280876453136,0.7955765102829165,0.03971715888892602,0.03562651224418716,0.7932853154286008,0.03989863382022385
6.75,0.035330681905817986,0.7878227879023343,0.0399075746101718,0.035765168309644796,0.7855156592528245,0.04015008811031695
7.0,0.03547888957852836,0.7800851277990745,0.039995837879656104,0.03590360947786145,0.7777693482180281,0.04037789141831638
7.25,0.035619230699370556,0.7724102775125857,0.04016575800832012,0.03604014941835138,0.7700567363457127,0.04063659804434172
7.5,0.0357537085451635,0.7647909013479992,0.040471077422176815,0.0361750823170088,0.7623777453081318,0.040958935687525955
7.75,0.03588687748275381,0.7572034522005106,0.04090240861013328,0.03631041545344155,0.7547220676956417,0.041351666574577894
8.0,0.03602329187898809,0.7496218984041623,0.04133140175205563,0.036448212592573165,0.7470779857227398,0.041764162207199806
8.25,0.03616584086524441,0.7420280842494282,0.041610908081698206,0.036590389006575165,0.7394336606020244,0.042085029590511525
8.5,0.0363107526310266,0.73444409639784,0.041692314835137356,0.03673561643776459,0.7317965507976486,0.042243670905278474
8.75,0.0364525901303699,0.7269045059586201,0.04158895523249351,0.036879415767747115,0.7241947812038945,0.04222206810972606
9.0,0.0365859163173096,0.7194464034186708,0.04146411541928163,0.03701717792408698,0.7166593891053759,0.04209193498706698
9.25,0.036707177013599934,0.7120968244813424,0.04150219999969851,0.03714445097686739,0.709222363730705,0.04203207895579952
9.5,0.03682034951187124,0.7048337494493837,0.04176078556971863,0.037261280159656324,0.7018874878519263,0.04215902434540064
9.75,0.036931293972472815,0.6976204331118993,0.042237555553289674,0.0373727610432764,0.6946241158888831,0.04249823231606609
10.0,0.03704587055575397,0.6904175596189754,0.04281974419164092,0.037484257442775115,0.6873974842159134,0.04300989366874042
10.25,0.037168681306803446,0.6831922478508116,0.043380351722905885,0.03760106555244055,0.6801710815692824,0.043567174972829914
10.5,0.03729929580966762,0.6759456497148542,0.043887386107325455,0.0377256716578611,0.6729262411759716,0.04408410267654972
10.75,0.03743602553313227,0.6686882814301,0.04433390353755051,0.03785680347384307,0.6656703923406145,0.04454900567312148
11.0,0.03757718194598322,0.6614314020521675,0.04471295916484719,0.03799292631510293,0.6584134579343711,0.04495557167306208
11.25,0.037721076517006236,0.6541869508430009,0.045017609266565284,0.0381325054963572,0.6511659935697728,0.045297488050178636
11.5,0.037866020714987125,0.646967486646464,0.04524091364836602,0.0382740063323224,0.6439391320327766,0.04556844373448676
11.75,0.03801032600871168,0.6397861298393628,0.045383171566804936,0.038415894137715005,0.6367445297070616,0.04576227004594724
12.0,0.038152303866965685,0.6326565074354812,0.04547480729974751,0.03855663422725154,0.6295943154629144,0.045886030717336546
12.25,0.038290554444485016,0.6255904895797824,0.04554950416327941,0.038694697452110266,0.6225010002679936,0.04597199542915309
12.5,0.038424832639805784,0.6185913463003317,0.04561437744965913,0.03882907141466402,0.6154734975556421,0.046044775792755566
12.75,0.03855518203741418,0.6116600828349805,0.04566960454298963,0.03895967397573597,0.608513705621294,0.0461068217286571
13.0,0.038681646221796415,0.6047976130003073,0.04571536298478929,0.03908652030500117,0.6016227062451966,0.046158194339263936
13.25,0.038804268777438644,0.5980047623297681,0.04575183046567988,0.039209625572134595,0.5948015022081693,0.046198954900896094
13.5,0.03892309328882709,0.5912822711737187,0.045779184817219765,0.03932900494681128,0.588051019622625,0.0462291648605766
13.75,0.03903816334044793,0.5846307977577541,0.04579760400389832,0.03944467359870625,0.581372110256969,0.04624888583284159
14.0,0.03914952251678735,0.5780509211961181,0.04580726611527597,0.0395566466974945,0.5747655538500672,0.04625817959655576
14.25,0.039257214402331556,0.571543144457256,0.045808349358279266,0.039664939412851076,0.5682320604126759,0.046257108091751764
14.5,0.03936128258156672,0.5651078972788696,0.04580103204964825,0.039769566914450966,0.5617722725129329,0.04624573341647853
14.75,0.03946177063897904,0.55874553903012,0.045785196491520797,0.03987054437196921,0.5553867675431889,0.0462241178978271
15.0,0.03955872215905472,0.5524563615188902,0.04575950180714239,0.03996788695508083,0.5490760599656618,0.04619242405014168
15.25,0.03965217123481058,0.5462406708078219,0.04572250052460536,0.040061609835837564,0.542840603514889,0.04615112292769785
15.5,0.0397421139933861,0.540099030243655,0.045673852186626895,0.040151731340241546,0.5366807671771604,0.04610066801178103
15.75,0.039828537070451385,0.5340320309013015,0.04561350294765365,0.0402382791658293,0.5305967847948352,0.04604123358651968
16.0,0.03991142710167655,0.5280402148820953,0.04554139916874167,0.04032128274278979,0.5245888196680558,0.04597294086122883
16.25,0.03999077072273171,0.5221240768422588,0.045457487420658804,0.040400771501312015,0.5186569811838527,0.0458959111452506
16.5,0.04006655456928698,0.5162840655258094,0.045361714487002214,0.04047677487158492,0.51280132712531,0.04581026584275705
16.75,0.04013876527701247,0.5105205853001249,0.04525402736731721,0.04054932228379751,0.5070218659301383,0.04571612644762002
17.0,0.040207389481578294,0.5048339976924803,0.04513437328022407,0.040618443168138736,0.501318558897802,0.045613614538356106
17.25,0.040272413818654575,0.49922462292595987,0.04500269966655779,0.040684166954797596,0.4956913223444939,0.04550285177313862
17.5,0.04033382492391141,0.49369274145323655,0.044858954192511735,0.040746523073963044,0.49014002970540166,0.045383959884877534
17.75,0.04039160943301893,0.4882385954868026,0.04470308475278495,0.04080554095582406,0.48466451358384105,0.045257060676374916
18.0,0.04044575398164724,0.48286239052432783,0.04453503947374449,0.040861250030569625,0.47926456774696596,0.04512227601554564
18.25,0.04049624520546645,0.4775642968679075,0.04435476671658822,0.04091367972838872,0.47393994906787956,0.04497972783071269
18.5,0.04054306974014669,0.47234445113605367,0.04416221508051743,0.040962859479470315,0.4686903794140893,0.04482953810597401
18.75,0.040586214221358045,0.4672029577673716,0.04395733340591157,0.04100881871400337,0.4635155474823496,0.0446718288766359
19.0,0.04062566528477067,0.4621398905149497,0.043740070777516404,0.04105158686217687,0.45841511058003825,0.044506722224717965
19.25,0.04066140956605464,0.4571552939305796,0.04351037652763079,0.041091193354179816,0.45338869635330176,0.04433434027453664
19.5,0.0406934337008801,0.45224918483800547,0.04326820023930278,0.04112766762020115,0.44843590446229153,0.044154805188352686
19.75,0.040721724324917136,0.4474215537944916,0.043014603264859286,0.041161039090429855,0.4435563082038876,0.043968239162091916
20.0,0.040746268073835884,0.44267236654007447,0.04275520189402693,0.04119133719505491,0.4387494560823848,0.04377495957562649
20.25,0.04076707845030023,0.4380013271363653,0.04249591147919185,0.0412185913642653,0.43401487332867744,0.043576702061493666
20.5,0.04078427642494926,0.43340716120035533,0.04223841948408902,0.041242835686165755,0.42935202237088527,0.043375703238627494
20.75,0.0407980098354158,0.4288883269481419,0.04198332900069701,0.041264137471627896,0.4247600522073455,0.04317289028120097
21.0,0.04080842651933272,0.4244432550728752,0.041731242826526405,0.041282578464336715,0.42023796376788486,0.04296860040687278
21.25,0.04081567431433287,0.420070351071897,0.0414827634726076,0.04129824046680325,0.415784737775065,0.042763168268983964
21.5,0.04081990105804908,0.41576799744248966,0.041238493173251456,0.041311205281538546,0.41139933691021124,0.04255692838878167
21.75,0.040821254588114246,0.4115345557533368,0.04099903389759163,0.041321554711053664,0.4070807073806766,0.04235021515382176
22.0,0.04081988274216118,0.40736836859876036,0.04076498736290457,0.04132937055785963,0.4028277804082876,0.04214336281692255
22.25,0.04081593335782276,0.40326776144273846,0.04053695504969568,0.041334734624467497,0.3986394736419061,0.04193670549566075
22.5,0.040809554272731835,0.39923104435966,0.04031553821857159,0.04133772871338832,0.3945146924970331,0.04173057717241946
22.75,0.04080089332452125,0.39525651367869213,0.04010133792887771,0.04133843462713314,0.3904523314253663,0.04152531169497742
23.0,0.04079009835082384,0.3913424535385681,0.039894955059103676,0.04133693416821301,0.3864512751172039,0.04132124277765259
23.25,0.0407773171892725,0.3874871373595184,0.03969699032907181,0.04133330913913896,0.3825103996395646,0.04111870400298123
23.5,0.04076269767750006,0.3836888292389834,0.03950804432388866,0.04132764134242207,0.3786285735128633,0.04091802882394591
23.75,0.040746387653139364,0.3799457852776492,0.03932871751967015,0.041320012580573356,0.37480465872895746,0.040719550566757245
24.0,0.04072853495382327,0.3762562548422592,0.03915961031103343,0.04131050465610387,0.3710375117133375,0.04052360243416331
24.25,0.04070928741718464,0.37261848177154844,0.03900132304036674,0.041299199371524674,0.3673259842342032,0.040330517509318486
24.5,0.04068879288085632,0.3690307055315486,0.038854456028862394,0.0412861785293468,0.36366892426112857,0.04014062876018709
24.75,0.040667199182471164,0.3654911623264029,0.0387181983279512,0.04127152393208131,0.3600651767759736,0.039954269044496726
25.0,0.04064465415966202,0.36199808617072227,0.038585982836587984,0.04125531738223923,0.35651358453866355,0.03977171102221666
25.25,0.0406212782346433,0.35854995813169216,0.03845093686063583,0.041237640682331635,0.35301298881040716,0.03959196486177596
25.5,0.040597082167955566,0.3551462525676945,0.03831161000872907,0.04121857447954973,0.3495622403352181,0.039412849374533376
25.75,0.040572049304720983,0.35178669414912234,0.03816793526901696,0.04119817542890568,0.3461604035435892,0.03923330152217641
26.0,0.04054616299006166,0.34847100985327123,0.03801984567632877,0.0411764775447241,0.34280674503195874,0.03905341097603188
26.25,0.040519406569099754,0.34519892896135684,0.037867274313621024,0.04115351395659296,0.33950054001687724,0.038873312923645376
26.5,0.04049176338695739,0.3419701830603412,0.03771015431344926,0.04112931779410022,0.33624106478688826,0.038693142504926836
26.75,0.040463216788756695,0.33878450604946697,0.037548418859463695,0.041103922186833834,0.3330275970212685,0.03851303481206392
27.0,0.040433750119619805,0.3356416341514073,0.03738200118791957,0.04107736026438177,0.32985941609020314,0.03833312488951268
27.25,0.04040334672466887,0.3325413059279393,0.037210834589210595,0.04104966515633199,0.32673580333713315,0.03815354773408819
27.5,0.040371989949026015,0.32948326230005714,0.03703485240943305,0.04102086999227245,0.32365604234399425,0.03797443829513636
27.75,0.04033966313781337,0.3264672465724383,0.036853988051963604,0.04099100790179114,0.32061941918005227,0.03779593147480176
28.0,0.040306349636153066,0.3234930044621866,0.036668174979054946,0.04096011201447599,0.31762522263502785,0.03761816212838509
28.25,0.04027203278916725,0.32056028413177506,0.03647734671345715,0.04092821545991497,0.31467274443718446,0.03744126506477974
28.5,0.040236695941978054,0.3176688362261205,0.036281436840067016,0.04089535136769606,0.3117612794570439,0.03726537504700733
28.75,0.04020032243970761,0.31481841391371934,0.03608037900758454,0.040861552867407204,0.308890125897376,0.03709062679284436
29.0,0.04016289562747805,0.3120087729317848,0.03587410693020443,0.04082685308863637,0.30605858547009407,0.036917154975524724
29.25,0.04012439885041151,0.3092396716353275,0.035662554389315204,0.04079128516097154,0.30326596356067537,0.036745094224550634
29.5,0.040084815453630136,0.3065108710501237,0.03544565523523158,0.040754882214000636,0.3005115693807111,0.03657457912657325
29.75,0.04004412878225604,0.3038221349295265,0.0352238209164355,0.04071767737731166,0.2977947161091729,0.036405744226370995
30.0,0.04000232218141138,0.3011732298150706,0.034999404207959994,0.04067970378049256,0.2951147210229754,0.03623872159787256
